naics,year,emp,pay,prode,prodh,prodw,vship,matcost,vadd,invest,invent,energy,cap,equip,plant,piship,pimat,piinv,pien,dtfp5,tfp5,dtfp4,tfp4
327113,2000,10.1,341.5,8,16.6,217.7,1318.8,433.4,901.6,58.2,155.2,44.9,826.4,578,248.4,1.06099999,1.018000007,0.984000027,1.067000031,0.068000004,1.014000058,0.068000004,1.014000058
327121,2000,14.4,429.7,11.6,24.7,308.7,1823.1,540.5,1313.3,117.7,223.4,226,1152.7,782.5,370.2,1.125,1.034000039,0.977999985,1.126000047,-0.061000001,1.067999959,-0.059999999,1.067999959
327122,2000,9.2,251.7,7.6,14.4,185.9,989.4,340.6,668.5,83.8,163.9,58.6,669,498.2,170.8,0.950999975,1.006000042,0.992999971,1.103999972,0.02,1.146999955,0.02,1.148000002
327123,2000,1.5,43.1,1.2,2.3,29.9,147.5,45.1,108.8,6.1,21.4,13.6,171.5,81.6,89.8,1.026000023,1.031999946,0.989000022,1.125,0.128000006,1.116000056,0.128000006,1.116000056
327124,2000,4.6,170.9,3.5,7.3,125.6,874.6,433.3,439.8,12.7,117.4,37.3,421.7,250.3,171.4,0.996999979,1.031999946,0.973999977,1.113999963,0,0.933000028,0,0.933000028
327125,2000,7.6,314.8,5.3,10.6,179.3,1431.8,658.7,783.9,94.6,223.4,59.9,1003.8,533.6,470.2,1.041000009,1.029999971,0.998000026,1.075000048,-0.063000001,0.841000021,-0.063000001,0.841000021
327211,2000,11.7,541.3,9.5,20,432.3,2990.2,1044.1,1963.1,325.5,270.4,288.2,3425.6,2290.7,1134.9,0.95599997,0.999000013,0.976999998,1.120000005,-0.033,1.034000039,-0.033,1.034000039
327212,2000,34.8,1331.9,29,61.4,1017.8,5596.6,1771.7,3873.2,437.1,903.2,357.9,6097.3,4675.6,1421.6,1.016000032,0.999000013,0.980000019,1.088999987,-0.061999999,0.842999995,-0.061999999,0.842999995
327213,2000,16.8,773.3,14.9,30.9,654.8,4125,1600.6,2540.8,329.7,707.4,442.7,5100.1,3661.6,1438.4,1.014000058,1.039999962,0.980000019,1.103999972,-0.015,1.003000021,-0.015,1.003000021
327215,2000,63.6,2115.8,50.6,105.6,1426.5,11504.8,5134.7,6384.1,462.4,1015.2,207.8,4682.3,3246.5,1435.9,1.037999988,0.999000013,0.980000019,1.042999983,0.026000001,1.014000058,0.026000001,1.014000058
