Date,Open,High,Low,Close,Volume,Adj Close
2007-08-01,58500,69000,49350,68600,353400,65205.32
2007-09-03,69500,73000,61700,69300,195800,65870.68
2007-10-01,69000,76700,63700,66800,338600,63494.39
2007-11-01,67800,77400,52500,60300,348800,57316.05
2007-12-03,60800,67300,56900,58500,192600,55605.12
2008-01-01,58500,62800,46100,53100,249300,50472.34
2008-02-01,52800,63300,51600,63000,221600,59882.44
2008-03-03,61000,69000,59300,66900,236300,63589.45
2008-04-01,66500,67400,56400,62400,277200,59312.12
2008-05-01,62400,80500,61900,78800,197500,74900.57
2008-06-02,79800,82200,71800,74400,256900,70718.3
2008-07-01,73700,78200,61000,75900,258500,72144.08
2008-08-01,76500,79000,70100,73700,146000,70052.95
2008-09-01,72200,74000,58200,62300,348100,59217.07
2008-10-01,62300,62500,20200,30000,1421200,28515.45
2008-11-03,31000,38200,23000,34000,1336200,32317.51
2008-12-01,34500,45450,29400,38200,596100,36309.67
2009-01-01,38200,51900,38200,49000,503800,46575.23
2009-02-02,48100,59400,46800,50500,479500,48001
2009-03-02,49300,68500,45400,64700,325200,61498.31
2009-04-01,61000,81800,60400,80000,449400,76041.19
2009-05-01,80000,114000,76200,105500,401800,100279.32
2009-06-01,103000,108000,87100,93400,402100,88778.09
2009-07-01,92400,93300,76000,86300,615100,82029.43
2009-08-03,86800,98700,83100,90300,650600,85831.49
2009-09-01,89200,104000,67500,67700,2020000,64349.86
2009-10-01,68600,71300,60700,66600,1689300,63304.29
2009-11-02,68200,84300,65600,84000,1541700,79843.25
2009-12-01,83700,89600,81500,85200,630300,80983.87
2010-01-04,85300,93900,80300,81300,504300,77276.86
2010-02-01,81000,89200,75300,87500,302700,83170.05
2010-03-01,87500,89000,79800,81200,314500,77181.8
2010-04-01,80800,81700,74300,79100,481700,75185.73
2010-05-03,78900,79900,61000,67900,498200,64539.96
2010-06-01,68900,80300,65200,78200,397100,74330.26
2010-07-01,77600,89400,77500,82100,508700,78037.27
2010-08-02,82800,107500,82500,107000,593500,101705.09
2010-09-01,108000,127000,99400,123000,368100,116913.33
2010-10-01,122000,129000,104500,125000,527900,118814.36
2010-11-01,126000,137500,100000,106500,562700,101229.83
2010-12-01,107000,116000,103000,106000,381600,101794.66
2011-01-03,106000,110000,91400,92000,707900,88350.08
2011-02-01,92300,92900,77700,78000,621800,74905.5
2011-03-02,76600,88400,76100,88000,458200,84508.77
2011-04-01,86700,94300,85000,87900,465100,84412.73
2011-05-02,88700,91300,77000,81100,334400,77882.52
2011-06-01,79000,93000,77800,91800,428200,88158.01
2011-07-01,92400,103500,89500,93400,491600,89694.53
2011-08-01,95000,96800,70600,78700,519000,75577.73
2011-09-01,79000,82900,49900,55500,624500,53298.14
2011-10-04,52000,68800,50900,64900,540100,62325.21
2011-11-01,63600,69100,57400,61200,357800,58772.01
2011-12-01,63500,64100,52000,53600,223800,52294.32
2012-01-02,53300,62800,51900,62600,236000,61075.08
2012-02-01,62800,70000,62600,66500,309900,64880.08
2012-03-01,66500,68300,59900,60000,154200,58538.42
2012-04-02,59800,61200,56400,57900,133700,56489.57
2012-05-01,57900,62600,51100,52800,163100,51513.81
2012-06-01,52500,56700,49700,54700,112100,53367.52
2012-07-02,55000,56900,44700,53700,174800,52391.88
2012-08-01,53300,61900,52500,60700,154600,59221.37
2012-09-03,60100,65000,59400,62300,127500,60782.39
2012-10-01,62300,62700,55600,60100,93600,58635.98
2012-11-01,59700,68400,58600,67800,148600,66148.41
2012-12-03,67800,75000,65500,73600,134400,72681.34
2013-01-01,73600,75700,61900,63800,154000,63003.66
2013-02-01,63300,64200,56100,56500,192700,55794.77
2013-03-01,56500,56500,50700,55900,488800,55202.26
2013-04-01,56200,56400,48850,55400,310100,54708.5
2013-05-01,55400,61100,55200,59600,277200,58856.08
2013-06-03,59100,59300,52400,59000,197800,58263.57
2013-07-01,58600,69000,57300,67400,259200,66558.72
2013-08-01,68500,77000,68400,71000,385600,70113.79
2013-09-02,71200,80200,70100,71700,422200,70805.05
2013-10-01,71500,72900,64500,71600,347700,70706.3
2013-11-01,72500,79900,70000,72100,343000,71200.05
2013-12-02,72700,73700,65600,70300,168100,70300
2014-01-01,70300,72600,66700,67700,157600,67700
2014-02-03,67100,74100,61400,72800,258100,72800
2014-03-03,71700,77600,71200,76800,210300,76800
2014-04-01,76600,76700,75400,75900,327800,75900
